LicenseNo,WIPlantNo,BusinessName,DBA,BusinessPhone,StreetAddress,City,StateZip,County,Municipality,GradeBProcessing1,GradeAPermitAuthorization,GeneralProcessing,SpecificProcessing,CheeseManufactured,VarianceStatus,VarianceDate
328092,55-436,1540 Vision Drive LLC,Moundview Dairy,(608) 504-2510,"1540 Vision Dr
",Platteville,"WI, 53818",Grant ,City of Platteville,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred","Brick, Muenster (Munster), Other",,
192512,55-500,AB Mauri Food Inc.,Ohly Americas,(715) 643-2600,"1115 Tiffany St
",Boyceville,"WI, 54725",Dunn ,Village of Boyceville,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Drying Operation, Powder Mixing/Blending",,,
122996,55-432,AFP Advanced Food Products LLC,,(715) 263-2956 x110,"600 1st Ave
",Clear Lake,"WI, 54005",Polk ,Village of Clear Lake,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk","Non-Dairy - Acidified Foods, Non-Dairy - Low Acid Canned Foods",,,
514748,55-322,Agropur Inc.,,(920) 714-0258,"3805 Freedom Rd
",Appleton,"WI, 54913",Outagamie ,Village of Little Chute,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Membrane Processing, Powder Mixing/Blending, Whey/Whey By Products","Mozzarella, Provolone",,
331744,55-524,Agropur Inc.,,(920) 714-0258,"W6470 Quality Dr
",Greenville,"WI, 54942",Outagamie ,Town of Greenville,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Other,"Mozzarella, Provolone",,
223079,55-642,AGROPUR INC.,Agropur Inc.,(920) 944-0900,"N2915 County Road AB
",Luxemburg,"WI, 54217",Kewaunee ,Town of Montpelier,"Grade B Processing > 1,000,000 lbs product per year","Grade A Processing > 2,000,000 lbs. milk received per year, Grade A Receiving Station",Bovine Milk,"Brine System, Cheese Processing, Cream, Membrane Processing, Pasteurizer - HTST, Powder Mixing/Blending, Whey/Whey By Products","Mozzarella, Provolone",,
223082,55-1410,AGROPUR INC.,Agropur Inc.,(920) 944-0900,"105 E Third Ave
",Weyauwega,"WI, 54983",Waupaca ,City of Weyauwega,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Cheese Processing, Condensary/Evap, Cut/Wrap/Shred, Drying Operation, Powder Mixing/Blending, Whey/Whey By Products","Cheddar, Mozzarella, Semisoft, Washed Curd and Soaked Curd",,
331780,55-477,AJLS Enterprises Inc.,Schoep's Ice Cream,(608) 245-4123,"514 Division St
",Madison,"WI, 53704",Dane ,City of Madison,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
561390,55-5931,Alpinage Cheese LLC,Alpinage Cheese Co.,(262) 721-4412,"1510 S Sylvania Ave Ste 205
",Sturtevant,"WI, 53177",Racine ,Town of Yorkville,,,,,,,
280237,55-527,Alpine Cheese Company,Forgotten Valley Cheese,(608) 439-5569,"6519 Larson Rd
",South Wayne,"WI, 53587",Lafayette ,Town of Wayne,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Cut/Wrap/Shred, Pasteurizer - HTST","Brick, Cheddar, Granular and Stirred Curd",,
207237,55-182,Alpine Slicing & Cheese Conversion Company,,(608) 934-1234,"112 W 8th St
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
523224,55-840,Alpine Slicing and Cheese Conversion Company,,(608) 934-1234,"704 30th St
",Monroe,"WI, 53566",Green ,City of Monroe,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,Cut/Wrap/Shred,,,
329325,55-482,Amazing Ice Cream LLC,Amazing Ice Cream LLC,(262) 483-1314,"125 W Grand Ave
",Port Washington,"WI, 53074",Ozaukee ,City of Port Washington,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
330698,55-481,"Amlat, LLC","Amlat, LLC",(608) 424-0058,"112 W Main St
",Belleville,"WI, 53508",Dane ,Village of Belleville,"Grade B Processing <= 1,000,000 lbs product per year",,,Cut/Wrap/Shred,,,
564927,55-1477,Anderson International,Harmony Cheese,(516) 747-2210,"230266 Red Cardinal Rd
",Edgar,"WI, 54426",Marathon ,Town of Rietbrock,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Pasteurizer - HTST, Whey/Whey By Products","Cheddar, Monterey/Monterey Jack",,
123054,55-800,"Arena Cheese, Inc.",Arena Cheese,(608) 753-2501,"300 US Highway 14
",Arena,"WI, 53503",Iowa ,Village of Arena,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Membrane Processing, Whey/Whey By Products","Cheddar, Colby, Edam, Gouda, Monterey/Monterey Jack, Provolone, Washed Curd and Soaked Curd",,
200841,55-905,Arla Foods Amba,"Arla Foods Production, LLC (Arla Foods Amba)",(920) 462-1304,"489 Holland Crt
",Kaukauna,"WI, 54130",Brown ,Town of Holland,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Brine System, Cheese Processing, Cut/Wrap/Shred, Membrane Processing, Other, Other, Whey/Whey By Products","Edam, Gouda, Muenster (Munster), Other",,
122891,55-226,"Associated Milk Producers, Inc.",Associated Milk Producers Inc,(608) 989-2535,"220 E Center St
",Blair,"WI, 54616",Trempealeau ,City of Blair,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,Bovine Milk,"Cheese Processing, Whey/Whey By Products",Cheddar,,
122926,55-301,"Associated Milk Producers, Inc.","Associated Milk Producers, Inc.",(715) 382-4113,"14193 County Road S
",Jim Falls,"WI, 54748",Chippewa ,Town of Anson,"Grade B Processing > 1,000,000 lbs product per year",Grade A Receiving Station,"ACaSS, Bovine Milk","Cheese Processing, Drying Operation, Powder Mixing/Blending, Whey/Whey By Products","Cheddar, Colby, Gouda, Gruyere, Monterey/Monterey Jack",,
122994,55-425,"Associated Milk Producers, Inc.",Associated Milk Producers Inc,(608) 742-2114,"301 Brook St
",Portage,"WI, 53901",Columbia ,City of Portage,"Grade B Processing > 1,000,000 lbs product per year",,"ACaSS, Bovine Milk",Cut/Wrap/Shred,Pasteurized Process Cheese/Cheese Food,,
123122,55-5059,Babcock Hall Dairy Plant,Babcock Hall Dairy Plant,(608) 262-9102,"1605 Linden Dr
",Madison,"WI, 53706",Dane ,City of Madison,"Grade B Processing <= 1,000,000 lbs product per year","Grade A Processing <= 2,000,000 lbs. milk received per year",Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Cut/Wrap/Shred, Fluid Milk, Frozen Dairy Products","Brick, Cheddar, Colby, Gouda, Monterey/Monterey Jack, Muenster (Munster), Other, Romano, Swiss and Emmentaler",,
123065,55-918,"Babler, Inc.",Cascade Cheese Co,(920) 528-8221,"302 E Water St
",Cascade,"WI, 53011",Sheboygan ,Village of Cascade,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Brine System, Cheese Processing, Cream, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Muenster (Munster), Provolone",,
122892,55-237,Bardo Custom Blending Corporation,Bardo Custom Blending,(608) 462-8540,"609 2nd Main
",Elroy,"WI, 53929",Juneau ,City of Elroy,"Grade B Processing > 1,000,000 lbs product per year",,"Bovine Milk, Custom Processing",Powder Mixing/Blending,,,
328975,55-463,"Barron County Organics, LLC",20-Mile Organic,(715) 671-0055,"796 29 3/4 Ave
",Barronett,"WI, 54813",Barron ,Town of Lakeland,"Grade B Processing <= 1,000,000 lbs product per year",,Bovine Milk,Frozen Dairy Products,,,
270946,55-2244,"Bekkum Family Farms, LLC",Nordic Creamery,(608) 606-4121,"S2244 Langaard Lane
",Westby,"WI, 54667",Vernon ,Town of Coon,"Grade B Processing <= 1,000,000 lbs product per year",,"Goat Milk, Sheep Milk","Butter Processing, Cut/Wrap/Shred, Frozen Dairy Products",Cheddar,,
123059,55-826,"Bel Brands USA, Inc. *",Bel Brands USA,(920) 687-3925,"1500 E North Ave
",Little Chute,"WI, 54140",Outagamie ,Village of Little Chute,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Cheese Processing, Cut/Wrap/Shred, Process Cheese","Cold Pack Cheese/Cheese Food, Cream Cheese, Pasteurized Processed Cheese Spread",,
284260,55-130,"BelGioioso Cheese, Inc.",BelGioioso Cheese Inc. ,(920) 863-2123,"N8495 State Road 55
",Menasha,"WI, 54952",Calumet ,Town of Harrison,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Condensary/Evap, Drying Operation, Membrane Processing, Pasteurizer - HTST, Whey/Whey By Products",,,
283278,55-153,"BelGioioso Cheese, Inc.",Belgioioso Cheese Inc,(920) 863-2123,"W6521 County Road F
",Brownsville,"WI, 53006",Fond du Lac ,Town of Byron,"Grade B Processing > 1,000,000 lbs product per year",,Bovine Milk,"Affinage (Aging), Brine System, Cheese Processing, Pasteurizer - HTST, Whey/Whey By Products","Mozzarella, Provolone",,
