Record ID,State,Plant Code / License ID,Company / Licensee,Site Name,City,County,Address,License / Permit Type,Product Hint,Candidate Category,Priority,Confidence,Review Status,Source System,Source Date,Source URL,Source Evidence,Review Notes,Existing Atlas Check
IA-19-0150,IA,19-0150,"Agropur, inc.","Agropur, inc.",Hull,Sioux,,Manufacturing Plant,Manufacturing,Iowa licensed dairy plant first-page capture,Medium,Medium-High,import_after_dedupe,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state.,Not checked against app export
IA-19-0250,IA,19-0250,"Agropur, inc.","Agropur, inc.",Hull,Sioux,,Grade A Wash Station,Wash station,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0230,IA,19-0230,Amcor Flexibles North America,Amcor Flexibles North America,Des Moines,Polk,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0024,IA,19-0024,"Amcor Rigid Packaging USA, LLC","Amcor Rigid Packaging USA, LLC",Ames,Story,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0084,IA,19-0084,American Packaging Corporation,American Packaging Corporation,Story City,Story,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0053,IA,19-0053,Anderson Erickson Dairy Co. Inc.,Anderson Erickson Dairy Co. Inc.,Des Moines,Polk,,Grade A Plant,Grade A fluid / cultured / aseptic,Iowa licensed dairy plant first-page capture,High,Medium-High,import_after_dedupe,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state.,Not checked against app export
IA-19-0153,IA,19-0153,Anderson Erickson Dairy Co. Inc.,Anderson Erickson Dairy Co. Inc.,Des Moines,Polk,,Single Service,Single-service packaging,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0640,IA,19-0640,Anderson Erickson Dairy Co. Inc.,Anderson Erickson Dairy Co. Inc.,Cedar Rapids,Linn,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0641,IA,19-0641,Anderson Erickson Dairy Co. Inc.,Anderson Erickson Dairy Co. Inc.,Des Moines,Polk,,Distributor,Marketing / distribution,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
IA-19-0295,IA,19-0295,"Associated Milk Producers, Inc.","Associated Milk Producers, Inc.",Sanborn,O'Brien,,Transfer/Receiving Station,Receiving / transfer,Iowa licensed dairy plant first-page capture,Low,Medium-High,do_not_import_yet,Iowa Department of Agriculture and Land Stewardship,Current page viewed 2026-06-22,https://data.iowaagriculture.gov/licensing_lists/dairy/,"Source table headings: Permit Number, Name, City, County, Type.",Official Iowa licensed dairy plant page row. Only the first paginated page was captured; use the source page export/pagination to complete the state. Permit type may be outside atlas plant-manufacturing scope.,Not checked against app export
